 SİMÜLASYON TAMAMLANDI ===
Gezegenler:

--- A0  ---   --- B0  ---   --- C0  ---   --- D0  ---   --- E0  ---   --- F0  ---   --- G0  ---   --- H0  ---   --- I0  ---   --- J0  ---   --- K0  ---   --- L0  ---   --- M0  ---   --- N0  ---   --- O0  ---   --- P0  ---   --- Q0  ---   --- R0  ---   --- S0  ---   --- T0  ---   --- U0  ---   --- V0  ---   --- W0  ---   --- X0  ---   --- Y0  ---   --- Z0  ---   --- A1  ---   --- B1  ---   --- C1  ---   --- D1  ---   --- E1  ---   --- F1  ---   --- G1  ---   --- H1  ---   --- I1  ---   --- J1  ---   --- K1  ---   --- L1  ---   --- M1  ---   --- N1  ---   --- O1  ---   --- P1  ---   --- Q1  ---   --- R1  ---   --- S1  ---   --- T1  ---   --- U1  ---   --- V1  ---   --- W1  ---   --- X1  ---   --- Y1  ---   --- Z1  ---   --- A2  ---   --- B2  ---   --- C2  ---   --- D2  ---   --- E2  ---   --- F2  ---   --- G2  ---   --- H2  ---   --- I2  ---   --- J2  ---   --- K2  ---   --- L2  ---   --- M2  ---   --- N2  ---   --- O2  ---   --- P2  ---   --- Q2  ---   --- R2  ---   --- S2  ---   --- T2  ---   --- U2  ---   --- V2  ---   --- W2  ---   --- X2  ---   --- Y2  ---   --- Z2  ---   --- A3  ---   --- B3  ---   --- C3  ---   --- D3  ---   --- E3  ---   --- F3  ---   --- G3  ---   --- H3  ---   --- I3  ---   --- J3  ---   --- K3  ---   --- L3  ---   --- M3  ---   --- N3  ---   --- O3  ---   --- P3  ---   --- Q3  ---   --- R3  ---   --- S3  ---   --- T3  ---   --- U3  ---   --- V3  ---   --- W3  ---   --- X3  ---   --- Y3  ---   --- Z3  ---   --- A4  ---   --- B4  ---   --- C4  ---   --- D4  ---   --- E4  ---   --- F4  ---   --- G4  ---   --- H4  ---   --- I4  ---   --- J4  ---   --- K4  ---   --- L4  ---   --- M4  ---   --- N4  ---   --- O4  ---   --- P4  ---   --- Q4  ---   --- R4  ---   --- S4  ---   --- T4  ---   --- U4  ---   --- V4  ---   --- W4  ---   --- X4  ---   --- Y4  ---   --- Z4  ---   --- A5  ---   --- B5  ---   --- C5  ---   --- D5  ---   --- E5  ---   --- F5  ---   --- G5  ---   --- H5  ---   --- I5  ---   --- J5  ---   --- K5  ---   --- L5  ---   --- M5  ---   --- N5  ---   --- O5  ---   --- P5  ---   --- Q5  ---   --- R5  ---   --- S5  ---   --- T5  ---   
19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   19.09.2025   12.09.2025   05.09.2025   28.08.2025   22.08.2025   17.08.2025   12.08.2025   07.08.2025   03.08.2025   29.07.2025   
0            0            0            0            0            0            0            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            1            0            0            0            0            0            

Uzay Araclari:

Arac Adi  Durum     Cikis     Varis     Hedefe Kalan Saat   Hedefe Varacagi Tarih
A0        Vardi     A0        B0        0                   12.04.2025          
B0        IMHA      B0        C0        --                  --                  
C0        IMHA      C0        D0        --                  --                  
D0        Vardi     D0        E0        0                   15.04.2025          
E0        IMHA      E0        F0        --                  --                  
F0        IMHA      F0        G0        --                  --                  
G0        Vardi     G0        H0        0                   18.04.2025          
H0        IMHA      H0        I0        --                  --                  
I0        IMHA      I0        J0        --                  --                  
J0        Vardi     J0        K0        0                   29.04.2025          
K0        IMHA      K0        L0        --                  --                  
L0        IMHA      L0        M0        --                  --                  
M0        Vardi     M0        N0        0                   27.04.2025          
N0        IMHA      N0        O0        --                  --                  
O0        IMHA      O0        P0        --                  --                  
P0        Vardi     P0        Q0        0                   30.04.2025          
Q0        IMHA      Q0        R0        --                  --                  
R0        IMHA      R0        S0        --                  --                  
S0        Vardi     S0        T0        0                   03.05.2025          
T0        IMHA      T0        U0        --                  --                  
U0        IMHA      U0        V0        --                  --                  
V0        Vardi     V0        W0        0                   20.04.2025          
W0        Vardi     W0        X0        0                   19.05.2025          
X0        IMHA      X0        Y0        --                  --                  
Y0        Vardi     Y0        Z0        0                   22.04.2025          
Z0        IMHA      Z0        A1        --                  --                  
A1        IMHA      A1        B1        --                  --                  
B1        Vardi     B1        C1        0                   25.04.2025          
C1        IMHA      C1        D1        --                  --                  
D1        IMHA      D1        E1        --                  --                  
E1        Vardi     E1        F1        0                   02.05.2025          
F1        IMHA      F1        G1        --                  --                  
G1        IMHA      G1        H1        --                  --                  
H1        Vardi     H1        I1        0                   04.05.2025          
I1        IMHA      I1        J1        --                  --                  
J1        IMHA      J1        K1        --                  --                  
K1        Vardi     K1        L1        0                   06.05.2025          
L1        IMHA      L1        M1        --                  --                  
M1        IMHA      M1        N1        --                  --                  
N1        Vardi     N1        O1        0                   24.05.2025          
O1        Vardi     O1        P1        0                   24.05.2025          
P1        IMHA      P1        Q1        --                  --                  
Q1        Vardi     Q1        R1        0                   26.04.2025          
R1        Vardi     R1        S1        0                   26.05.2025          
S1        IMHA      S1        T1        --                  --                  
T1        Vardi     T1        U1        0                   28.04.2025          
U1        Vardi     U1        V1        0                   28.05.2025          
V1        IMHA      V1        W1        --                  --                  
W1        Vardi     W1        X1        0                   30.04.2025          
X1        IMHA      X1        Y1        --                  --                  
Y1        IMHA      Y1        Z1        --                  --                  
Z1        Vardi     Z1        A2        0                   09.05.2025          
A2        Vardi     A2        B2        0                   08.06.2025          
B2        IMHA      B2        C2        --                  --                  
C2        Vardi     C2        D2        0                   10.05.2025          
D2        IMHA      D2        E2        --                  --                  
E2        IMHA      E2        F2        --                  --                  
F2        Vardi     F2        G2        0                   12.05.2025          
G2        IMHA      G2        H2        --                  --                  
H2        IMHA      H2        I2        --                  --                  
I2        Vardi     I2        J2        0                   02.05.2025          
J2        Vardi     J2        K2        0                   01.06.2025          
K2        IMHA      K2        L2        --                  --                  
L2        Vardi     L2        M2        0                   03.05.2025          
M2        Vardi     M2        N2        0                   02.06.2025          
N2        IMHA      N2        O2        --                  --                  
O2        Vardi     O2        P2        0                   04.05.2025          
P2        Vardi     P2        Q2        0                   03.06.2025          
Q2        IMHA      Q2        R2        --                  --                  
R2        Vardi     R2        S2        0                   20.05.2025          
S2        Vardi     S2        T2        0                   14.06.2025          
T2        IMHA      T2        U2        --                  --                  
U2        Vardi     U2        V2        0                   15.05.2025          
V2        Vardi     V2        W2        0                   14.06.2025          
W2        IMHA      W2        X2        --                  --                  
X2        Vardi     X2        Y2        0                   16.05.2025          
Y2        Vardi     Y2        Z2        0                   15.06.2025          
Z2        IMHA      Z2        A3        --                  --                  
A3        Vardi     A3        B3        0                   17.05.2025          
B3        IMHA      B3        C3        --                  --                  
C3        Vardi     C3        D3        0                   06.07.2025          
D3        Vardi     D3        E3        0                   09.05.2025          
E3        Vardi     E3        F3        0                   07.06.2025          
F3        IMHA      F3        G3        --                  --                  
G3        Vardi     G3        H3        0                   09.05.2025          
H3        Vardi     H3        I3        0                   08.06.2025          
I3        IMHA      I3        J3        --                  --                  
J3        Vardi     J3        K3        0                   10.05.2025          
K3        Vardi     K3        L3        0                   09.06.2025          
L3        IMHA      L3        M3        --                  --                  
M3        Vardi     M3        N3        0                   22.05.2025          
N3        Vardi     N3        O3        0                   20.06.2025          
O3        IMHA      O3        P3        --                  --                  
P3        Vardi     P3        Q3        0                   21.05.2025          
Q3        Vardi     Q3        R3        0                   20.06.2025          
R3        IMHA      R3        S3        --                  --                  
S3        Vardi     S3        T3        0                   21.05.2025          
T3        Vardi     T3        U3        0                   21.06.2025          
U3        IMHA      U3        V3        --                  --                  
V3        Vardi     V3        W3        0                   15.06.2025          
W3        Vardi     W3        X3        0                   14.06.2025          
X3        Vardi     X3        Y3        0                   12.07.2025          
Y3        Vardi     Y3        Z3        0                   15.05.2025          
Z3        Vardi     Z3        A4        0                   13.06.2025          
A4        IMHA      A4        B4        --                  --                  
B4        Vardi     B4        C4        0                   14.05.2025          
C4        Vardi     C4        D4        0                   13.06.2025          
D4        IMHA      D4        E4        --                  --                  
E4        Vardi     E4        F4        0                   15.05.2025          
F4        Vardi     F4        G4        0                   18.07.2025          
G4        Vardi     G4        H4        0                   26.07.2025          
H4        Vardi     H4        I4        0                   28.05.2025          
I4        Vardi     I4        J4        0                   26.06.2025          
J4        IMHA      J4        K4        --                  --                  
K4        Vardi     K4        L4        0                   27.05.2025          
L4        Vardi     L4        M4        0                   26.06.2025          
M4        IMHA      M4        N4        --                  --                  
N4        Vardi     N4        O4        0                   27.05.2025          
O4        Vardi     O4        P4        0                   26.06.2025          
P4        IMHA      P4        Q4        --                  --                  
Q4        Vardi     Q4        R4        0                   22.05.2025          
R4        Vardi     R4        S4        0                   20.06.2025          
S4        Vardi     S4        T4        0                   18.07.2025          
T4        Vardi     T4        U4        0                   20.05.2025          
U4        Vardi     U4        V4        0                   19.06.2025          
V4        Vardi     V4        W4        0                   17.07.2025          
W4        Vardi     W4        X4        0                   20.05.2025          
X4        Vardi     X4        Y4        0                   18.06.2025          
Y4        IMHA      Y4        Z4        --                  --                  
Z4        Vardi     Z4        A5        0                   11.06.2025          
A5        Vardi     A5        B5        0                   04.07.2025          
B5        Vardi     B5        C5        0                   01.08.2025          
C5        Vardi     C5        D5        0                   03.06.2025          
D5        Vardi     D5        E5        0                   02.07.2025          
E5        Vardi     E5        F5        0                   30.07.2025          
F5        Vardi     F5        G5        0                   02.06.2025          
G5        Vardi     G5        H5        0                   01.07.2025          
H5        IMHA      H5        I5        --                  --                  
I5        Vardi     I5        J5        0                   02.06.2025          
J5        Vardi     J5        K5        0                   13.08.2025          
K5        Vardi     K5        L5        0                   26.07.2025          
L5        Vardi     L5        M5        0                   28.05.2025          
M5        Vardi     M5        N5        0                   26.06.2025          
N5        Vardi     N5        O5        0                   12.06.2025          
O5        Vardi     O5        P5        0                   16.04.2025          
P5        Vardi     P5        Q5        0                   16.05.2025          
Q5        Vardi     Q5        R5        0                   16.06.2025          
R5        Vardi     R5        S5        0                   19.04.2025          
S5        Vardi     S5        T5        0                   19.05.2025          
T5        Vardi     T5        A0        0                   25.07.2025          
U5        Vardi     A0        B0        0                   24.04.2025          
V5        Vardi     B0        C0        0                   24.05.2025          
W5        Vardi     C0        D0        0                   23.06.2025          
X5        Vardi     D0        E0        0                   27.04.2025          
Y5        Vardi     E0        F0        0                   27.05.2025          
Z5        Vardi     F0        G0        0                   27.06.2025          
A6        Vardi     G0        H0        0                   30.04.2025          
B6        Vardi     H0        I0        0                   30.05.2025          
C6        Vardi     I0        J0        0                   30.06.2025          
D6        Vardi     J0        K0        0                   16.05.2025          
E6        Vardi     K0        L0        0                   16.05.2025          
F6        Vardi     L0        M0        0                   16.06.2025          
G6        Vardi     M0        N0        0                   20.04.2025          
H6        Vardi     N0        O0        0                   19.05.2025          
